iTOW,clkB,clkD,tAcc,fAcc,bag_t.secs,bag_t.nsecs
462910500,522815,517,4,425,1778834092,563411639
462910625,522879,517,4,425,1778834092,692514057
462910750,522944,517,4,426,1778834092,816402825
462910875,523008,517,4,431,1778834092,945097200
462911000,523073,516,4,434,1778834093,73104822
462911125,523138,517,4,435,1778834093,194390835
462911250,523202,517,4,436,1778834093,317729375
462911375,523267,517,4,438,1778834093,440087474
462911500,523331,517,4,439,1778834093,568136272
462911625,523396,517,4,439,1778834093,694077132
462911750,523460,517,4,441,1778834093,817244838
462911875,523525,517,4,443,1778834093,942299695
462912000,523590,517,4,444,1778834094,71999356
462912125,523654,517,4,445,1778834094,193138987
462912250,523719,517,4,445,1778834094,317594378
462912375,523783,517,4,447,1778834094,443197043
462912500,523848,516,4,447,1778834094,568036205
462912625,523912,517,4,448,1778834094,693920272
462912750,523977,517,4,449,1778834094,815730051
462912875,524042,517,4,450,1778834094,941926537
462913000,524106,517,4,450,1778834095,71214999
462913125,524171,517,4,450,1778834095,193138879
462913250,524235,517,4,451,1778834095,315921821
462913375,524300,517,4,451,1778834095,443298628
462913500,524364,517,4,452,1778834095,568019829
462913625,524429,517,4,451,1778834095,695005778
462913750,524494,517,4,452,1778834095,819036014
462913875,524558,517,4,451,1778834095,944961742
462914000,524623,516,4,451,1778834096,73142989
462914125,524687,516,4,451,1778834096,189960773
462914250,524752,516,4,451,1778834096,319181668
462914375,524816,516,4,450,1778834096,444564651
462914500,524881,516,4,449,1778834096,568838180
462914625,524945,516,4,449,1778834096,695026239
462914750,525010,516,4,449,1778834096,819023725
462914875,525075,516,4,449,1778834096,944074586
462915000,525139,516,4,448,1778834097,70286320
462915125,525204,516,4,452,1778834097,193631429
462915250,525268,516,4,454,1778834097,319020604
462915375,525333,516,4,449,1778834097,445147354
462915500,525397,516,4,448,1778834097,568760214
462915625,525462,517,4,448,1778834097,693881324
462915750,525527,517,4,448,1778834097,817569381
462915875,525591,516,4,447,1778834097,939922009
462916000,525656,516,4,446,1778834098,71884502
462916125,525720,516,4,447,1778834098,193844287
462916250,525785,516,4,447,1778834098,318136605
462916375,525849,516,4,445,1778834098,443877158
462916500,525914,516,4,445,1778834098,567370956
462916625,525978,516,4,445,1778834098,692741248
462916750,526043,516,4,449,1778834098,817206996
462916875,526108,516,4,451,1778834098,943025725
462917000,526172,516,4,456,1778834099,72021492
462917125,526237,516,4,460,1778834099,192611224
462917250,526301,517,4,462,1778834099,318194519
462917375,526366,517,4,463,1778834099,442638455
462917500,526430,517,4,465,1778834099,569029482
462917625,526495,517,4,467,1778834099,693886744
462917750,526560,517,4,464,1778834099,815041259
462917875,526624,517,4,462,1778834099,943853181
462918000,526689,516,4,462,1778834100,71826396
462918125,526753,516,4,461,1778834100,193673747
462918250,526818,516,4,461,1778834100,319294782
462918375,526882,516,4,460,1778834100,445537658
462918500,526947,517,4,459,1778834100,568730486
462918625,527012,517,4,460,1778834100,689678847
462918750,527076,517,4,460,1778834100,818678317
462918875,527141,517,4,460,1778834100,944724675
462919000,527205,517,4,459,1778834101,72631959
462919125,527270,516,4,459,1778834101,194480960
462919250,527334,516,4,461,1778834101,319614554
462919375,527399,516,4,460,1778834101,443781526
462919500,527463,517,4,464,1778834101,564032525
462919625,527528,516,4,466,1778834101,694516443
462919750,527593,516,4,469,1778834101,817951605
462919875,527657,517,4,472,1778834101,944835405
462920000,527722,517,4,474,1778834102,74837303
462920125,527786,516,4,476,1778834102,192846099
462920250,527851,516,4,478,1778834102,317308351
462920375,527915,516,4,482,1778834102,439630964
462920500,527980,517,4,484,1778834102,568479013
462920625,528044,516,4,485,1778834102,691648289
462920750,528109,516,4,487,1778834102,815734517
462920875,528173,516,4,489,1778834102,941717785
462921000,528238,516,4,489,1778834103,70917813
462921125,528302,516,4,489,1778834103,192402081
462921250,528367,516,4,485,1778834103,317702417
462921375,528432,516,4,482,1778834103,443863941
462921500,528496,516,4,482,1778834103,566793638
462921625,528561,516,4,480,1778834103,691699856
462921750,528625,516,4,479,1778834103,816461967
462921875,528690,516,4,478,1778834103,941539078
462922000,528754,516,4,477,1778834104,71205605
462922125,528819,516,4,476,1778834104,192750192
462922250,528883,516,4,476,1778834104,315592420
462922375,528948,516,4,474,1778834104,444018739
462922500,529012,516,4,471,1778834104,569100882
462922625,529077,516,4,470,1778834104,692361997
462922750,529141,516,4,467,1778834104,818537678
462922875,529206,516,4,465,1778834104,942531777
462923000,529270,516,4,464,1778834105,72243141
462923125,529335,516,4,464,1778834105,188217683
462923250,529400,516,4,462,1778834105,316625034
462923375,529464,516,4,461,1778834105,442396196
462923500,529529,516,4,466,1778834105,567135764
462923625,529593,516,4,469,1778834105,692049921
462923750,529658,516,4,466,1778834105,816765639
462923875,529722,516,4,460,1778834105,941625437
462924000,529787,516,4,458,1778834106,66308391
462924125,529851,516,4,460,1778834106,191219349
462924250,529916,516,4,462,1778834106,317654706
462924375,529980,516,4,459,1778834106,442198059
462924500,530045,516,4,456,1778834106,565459873
462924625,530110,516,4,454,1778834106,689240159
462924750,530174,516,4,456,1778834106,813579274
462924875,530239,516,4,456,1778834106,937071437
462925000,530303,516,4,453,1778834107,70238106
462925125,530368,516,4,451,1778834107,192360120
462925250,530432,516,4,450,1778834107,316580465
462925375,530497,516,4,452,1778834107,442238407
462925500,530561,516,4,454,1778834107,566101211
462925625,530626,516,4,459,1778834107,691505482
462925750,530690,516,4,464,1778834107,815882949
462925875,530755,516,4,474,1778834107,941327792
462926000,530819,516,4,479,1778834108,71428002
462926125,530884,516,4,484,1778834108,191302234
462926250,530949,516,4,488,1778834108,316740826
462926375,531013,516,4,492,1778834108,440236406
462926500,531078,516,4,496,1778834108,565154098
462926625,531142,516,4,498,1778834108,690287672
462926750,531207,516,4,499,1778834108,812221462
462926875,531271,516,4,500,1778834108,940210686
462927000,531336,516,4,502,1778834109,68906760
462927125,531400,516,4,504,1778834109,191055701
462927250,531465,516,4,505,1778834109,316572431
462927375,531529,516,4,504,1778834109,441554728
462927500,531594,516,4,505,1778834109,567022560
462927625,531658,516,4,503,1778834109,687321539
462927750,531723,516,4,504,1778834109,814216064
462927875,531787,516,4,504,1778834109,941922601
462928000,531852,516,4,504,1778834110,71926554
462928125,531916,516,4,505,1778834110,193125828
462928250,531981,516,4,505,1778834110,317319710
462928375,532046,516,4,505,1778834110,441764387
462928500,532110,516,4,507,1778834110,562002221
462928625,532175,516,4,507,1778834110,691961518
462928750,532239,516,4,509,1778834110,816422350
462928875,532304,516,4,508,1778834110,941979015
462929000,532368,516,4,510,1778834111,71208805
462929125,532433,516,4,512,1778834111,191904066
462929250,532497,516,4,515,1778834111,316318184
462929375,532562,516,4,517,1778834111,439053364
462929500,532626,516,4,517,1778834111,567131478
462929625,532691,516,4,518,1778834111,692246788
462929750,532755,516,4,520,1778834111,816178619
462929875,532820,516,4,522,1778834111,941190695
