iTOW,gpsFix,flags,fixStat,flags2,ttff,msss,bag_t.secs,bag_t.nsecs
462690875,3,223,2,8,7124176,7838927,1778833872,941099059
462691000,3,223,2,8,7124176,7839052,1778833873,74129617
462691125,3,223,2,8,7124176,7839177,1778833873,194491487
462691250,3,223,2,8,7124176,7839302,1778833873,319879893
462691375,3,223,2,8,7124176,7839427,1778833873,444151229
462691500,3,223,2,8,7124176,7839552,1778833873,568188739
462691625,3,223,2,8,7124176,7839677,1778833873,693363029
462691750,3,223,2,8,7124176,7839802,1778833873,819218316
462691875,3,223,2,8,7124176,7839927,1778833873,944144659
462692000,3,223,2,8,7124176,7840052,1778833874,73453166
462692125,3,223,2,8,7124176,7840177,1778833874,193288969
462692250,3,223,2,8,7124176,7840302,1778833874,319627896
462692375,3,223,2,8,7124176,7840427,1778833874,443196989
462692500,3,223,2,8,7124176,7840552,1778833874,569913330
462692625,3,223,2,8,7124176,7840677,1778833874,693448717
462692750,3,223,2,8,7124176,7840802,1778833874,815937128
462692875,3,223,2,8,7124176,7840927,1778833874,942070599
462693000,3,223,2,8,7124176,7841052,1778833875,72148395
462693125,3,223,2,8,7124176,7841177,1778833875,193516486
462693250,3,223,2,8,7124176,7841302,1778833875,318449849
462693375,3,223,2,8,7124176,7841427,1778833875,444556027
462693500,3,223,2,8,7124176,7841552,1778833875,568678873
462693625,3,223,2,8,7124176,7841677,1778833875,688996918
462693750,3,223,2,8,7124176,7841802,1778833875,817170838
462693875,3,223,2,8,7124176,7841927,1778833875,942349437
462694000,3,223,2,8,7124176,7842052,1778833876,73231969
462694125,3,223,2,8,7124176,7842177,1778833876,195215205
462694250,3,223,2,8,7124176,7842302,1778833876,320028216
462694375,3,223,2,8,7124176,7842427,1778833876,443541158
462694500,3,223,2,8,7124176,7842552,1778833876,565174057
462694625,3,223,2,8,7124176,7842677,1778833876,694286727
462694750,3,223,2,8,7124176,7842802,1778833876,819965903
462694875,3,223,2,8,7124176,7842927,1778833876,946357638
462695000,3,223,2,8,7124176,7843052,1778833877,75971563
462695125,3,223,2,8,7124176,7843177,1778833877,194253863
462695250,3,223,2,8,7124176,7843302,1778833877,319442485
462695375,3,223,2,8,7124176,7843427,1778833877,441303330
462695500,3,223,2,8,7124176,7843552,1778833877,570037069
462695625,3,223,2,8,7124176,7843677,1778833877,694632808
462695750,3,223,2,8,7124176,7843802,1778833877,818469925
462695875,3,223,2,8,7124176,7843927,1778833877,944311169
462696000,3,223,2,8,7124176,7844052,1778833878,73136829
462696125,3,223,2,8,7124176,7844177,1778833878,195236266
462696250,3,223,2,8,7124176,7844302,1778833878,320156729
462696375,3,223,2,8,7124176,7844427,1778833878,446105873
462696500,3,223,2,8,7124176,7844552,1778833878,569838460
462696625,3,223,2,8,7124176,7844677,1778833878,694354450
462696750,3,223,2,8,7124176,7844802,1778833878,819121013
462696875,3,223,2,8,7124176,7844927,1778833878,944197896
462697000,3,223,2,8,7124176,7845052,1778833879,74279726
462697125,3,223,2,8,7124176,7845177,1778833879,194889327
462697250,3,223,2,8,7124176,7845302,1778833879,316490389
462697375,3,223,2,8,7124176,7845427,1778833879,444185821
462697500,3,223,2,8,7124176,7845552,1778833879,570173069
462697625,3,223,2,8,7124176,7845677,1778833879,694480861
462697750,3,223,2,8,7124176,7845802,1778833879,819190813
462697875,3,223,2,8,7124176,7845927,1778833879,945012867
462698000,3,223,2,8,7124176,7846052,1778833880,74470442
462698125,3,223,2,8,7124176,7846177,1778833880,190421704
462698250,3,223,2,8,7124176,7846302,1778833880,320183303
462698375,3,223,2,8,7124176,7846427,1778833880,444372748
462698500,3,223,2,8,7124176,7846552,1778833880,569798573
462698625,3,223,2,8,7124176,7846677,1778833880,694548852
462698750,3,223,2,8,7124176,7846802,1778833880,819406095
