iTOW,ecefX,ecefY,ecefZ,pAcc,bag_t.secs,bag_t.nsecs
462688250,-311174415,406354564,379335182,200,1778833870,314036125
462688375,-311174451,406354559,379335158,200,1778833870,439149282
462688500,-311174485,406354550,379335137,200,1778833870,562596352
462688625,-311174520,406354541,379335114,199,1778833870,688637299
462688750,-311174556,406354535,379335094,199,1778833870,814231213
462688875,-311174592,406354528,379335072,199,1778833870,940170302
462689000,-311174626,406354521,379335049,199,1778833871,69404529
462689125,-311174661,406354514,379335026,199,1778833871,186478834
462689250,-311174698,406354507,379335004,199,1778833871,315060200
462689375,-311174733,406354501,379334982,199,1778833871,440092090
462689500,-311174767,406354495,379334959,199,1778833871,564951546
462689625,-311174800,406354488,379334937,199,1778833871,690430641
462689750,-311174835,406354485,379334916,199,1778833871,814978172
462689875,-311174866,406354478,379334893,199,1778833871,938485443
462690000,-311174896,406354475,379334869,199,1778833872,64031083
462690125,-311174929,406354473,379334848,199,1778833872,189386812
462690250,-311174958,406354467,379334823,198,1778833872,315319433
462690375,-311174988,406354467,379334803,198,1778833872,440141125
462690500,-311175017,406354463,379334781,198,1778833872,564932792
462690625,-311175046,406354461,379334761,198,1778833872,689211385
462690750,-311175075,406354460,379334740,198,1778833872,814393352
462690875,-311175102,406354456,379334719,198,1778833872,938195216
462691000,-311175129,406354453,379334700,198,1778833873,70548964
462691125,-311175156,406354450,379334682,198,1778833873,191539596
462691250,-311175182,406354447,379334665,198,1778833873,316300090
462691375,-311175206,406354444,379334648,198,1778833873,439983814
462691500,-311175230,406354440,379334631,197,1778833873,564644468
462691625,-311175255,406354438,379334615,197,1778833873,690078350
462691750,-311175281,406354434,379334599,197,1778833873,816110645
462691875,-311175307,406354429,379334583,197,1778833873,940161255
462692000,-311175333,406354426,379334566,197,1778833874,69891232
462692125,-311175360,406354420,379334548,197,1778833874,189771159
462692250,-311175389,406354415,379334530,197,1778833874,316354391
462692375,-311175419,406354410,379334511,197,1778833874,439830873
462692500,-311175448,406354403,379334490,197,1778833874,565264985
462692625,-311175479,406354399,379334470,197,1778833874,689840358
462692750,-311175510,406354396,379334449,196,1778833874,812499470
462692875,-311175539,406354392,379334428,196,1778833874,938678470
462693000,-311175569,406354387,379334407,196,1778833875,68586863
462693125,-311175599,406354385,379334387,196,1778833875,190641050
462693250,-311175627,406354381,379334366,196,1778833875,315189977
462693375,-311175654,406354378,379334346,196,1778833875,440284382
462693500,-311175682,406354374,379334326,196,1778833875,564600229
462693625,-311175710,406354373,379334307,196,1778833875,686082106
462693750,-311175739,406354371,379334286,196,1778833875,813890587
462693875,-311175767,406354368,379334266,195,1778833875,939397557
462694000,-311175797,406354366,379334244,195,1778833876,69921719
462694125,-311175826,406354364,379334222,195,1778833876,191787294
462694250,-311175855,406354361,379334199,195,1778833876,316638529
462694375,-311175886,406354361,379334178,195,1778833876,439675935
462694500,-311175915,406354358,379334153,194,1778833876,561299238
462694625,-311175946,406354356,379334130,194,1778833876,690630517
462694750,-311175975,406354354,379334108,194,1778833876,816424721
462694875,-311176003,406354352,379334085,194,1778833876,941689241
462695000,-311176034,406354352,379334062,194,1778833877,71293018
462695125,-311176063,406354352,379334039,193,1778833877,190243866
462695250,-311176091,406354348,379334016,193,1778833877,316273402
462695375,-311176118,406354348,379333994,193,1778833877,438338449
462695500,-311176144,406354347,379333974,193,1778833877,566739080
462695625,-311176169,406354347,379333956,193,1778833877,690769498
462695750,-311176192,406354345,379333940,192,1778833877,815161275
462695875,-311176213,406354340,379333925,192,1778833877,940064668
462696000,-311176234,406354337,379333913,192,1778833878,69688380
462696125,-311176255,406354337,379333902,192,1778833878,192328325
462696250,-311176274,406354332,379333890,192,1778833878,317021925
462696375,-311176295,406354327,379333879,192,1778833878,441428325
462696500,-311176316,406354325,379333867,192,1778833878,566248237
462696625,-311176334,406354320,379333855,191,1778833878,690723758
462696750,-311176355,406354317,379333842,191,1778833878,815278949
462696875,-311176374,406354313,379333828,191,1778833878,940096451
462697000,-311176393,406354311,379333814,191,1778833879,70662456
462697125,-311176411,406354310,379333799,191,1778833879,190721171
462697250,-311176430,406354309,379333788,191,1778833879,313407531
462697375,-311176444,406354308,379333777,191,1778833879,439753970
462697500,-311176457,406354308,379333768,191,1778833879,565252535
462697625,-311176469,406354308,379333760,190,1778833879,690933343
462697750,-311176479,406354307,379333753,190,1778833879,815406054
462697875,-311176487,406354306,379333748,190,1778833879,940596559
462698000,-311176495,406354307,379333742,190,1778833880,70526004
462698125,-311176501,406354307,379333738,190,1778833880,187783800
462698250,-311176506,406354307,379333734,190,1778833880,316314114
462698375,-311176510,406354306,379333731,190,1778833880,440299196
462698500,-311176513,406354305,379333728,190,1778833880,566407285
462698625,-311176516,406354306,379333727,190,1778833880,690706238
462698750,-311176519,406354305,379333724,190,1778833880,815646496
462698875,-311176521,406354305,379333723,190,1778833880,940044807
462699000,-311176523,406354305,379333723,189,1778833881,66153187
462699125,-311176525,406354306,379333721,189,1778833881,191644067
462699250,-311176527,406354306,379333719,189,1778833881,317488077
462699375,-311176528,406354305,379333719,189,1778833881,441389670
462699500,-311176530,406354306,379333717,189,1778833881,565635034
462699625,-311176532,406354306,379333716,189,1778833881,693144012
462699750,-311176533,406354306,379333715,189,1778833881,815317993
462699875,-311176534,406354304,379333714,189,1778833881,938618980
462700000,-311176536,406354306,379333713,189,1778833882,71693546
462700125,-311176537,406354305,379333711,189,1778833882,193508909
462700250,-311176539,406354305,379333711,189,1778833882,318977994
462700375,-311176540,406354304,379333710,188,1778833882,441582829
462700500,-311176541,406354304,379333708,188,1778833882,566642558
462700625,-311176542,406354304,379333707,188,1778833882,691541188
462700750,-311176544,406354304,379333705,188,1778833882,817461366
462700875,-311176546,406354305,379333705,188,1778833882,941223589
462701000,-311176547,406354304,379333704,188,1778833883,71518679
